phrase;opinion_value;standard_deviation;standard_error;phrase_type;manual_correction
wirklich nett;0.635;0.355;0.070;a;
wirklich neu;0.400;0.000;0.000;a;m
wirklich nicht bereut;0.958;0.138;0.021;a;
wirklich nicht enttäuscht;0.948;0.153;0.020;a;
wirklich nicht lang;0.924;0.180;0.060;a;
wirklich nicht lustig;-1.000;0.000;0.000;a;
wirklich nicht schlecht;0.600;0.200;0.052;a;
wirklich nicht schlimm;0.918;0.185;0.036;a;
wirklich nicht störend;0.958;0.138;0.056;a;
wirklich nicht teuer;1.000;0.000;0.000;a;
wirklich nicht zu kurz;0.973;0.113;0.030;a;
wirklich nie langweilig;0.990;0.069;0.013;a;
wirklich nur empfehlenswert;0.958;0.138;0.033;a;
wirklich nur jed ans Herz;1.000;0.000;0.000;n;
wirklich nur positiv;1.000;0.000;0.000;a;
wirklich nützlich;1.000;0.000;0.000;a;
wirklich ohne Bedenken;1.000;0.000;0.000;n;
wirklich perfekt gelungen;1.000;0.000;0.000;a;
wirklich Perle;1.000;0.000;0.000;n;
wirklich phantasievoll;1.000;0.000;0.000;a;
wirklich praktisch;0.562;0.704;0.176;a;
wirklich pur;1.000;0.000;0.000;a;
wirklich qualitativ;0.938;0.165;0.052;a;
wirklich realitätsnah;0.542;0.138;0.056;a;
wirklich restlos begeistert;1.000;0.000;0.000;a;
wirklich richtig geil;0.929;0.175;0.047;a;
wirklich richtig gut gefallen;0.938;0.165;0.074;a;
wirklich richtig klasse;1.000;0.000;0.000;a;
wirklich robusten;0.973;0.113;0.030;a;
wirklich rundum gelungen;1.000;0.000;0.000;a;
wirklich rundum zufrieden;0.962;0.132;0.026;a;
wirklich sagenhaft;0.955;0.143;0.027;a;
wirklich schade;-0.561;0.489;0.085;a;
wirklich schlecht;-0.883;0.279;0.051;a;
wirklich schlecht gemacht;-0.562;0.165;0.074;a;
wirklich schlechtesten;-1.000;0.000;0.000;a;
wirklich Schmuckstück;0.984;0.087;0.031;n;
wirklich Schnäppchen;0.938;0.165;0.033;n;
wirklich schön;0.865;0.234;0.025;a;
wirklich schuldig;0.500;0.164;0.062;a;
wirklich schwer beeindruckt;0.973;0.113;0.030;a;
wirklich schwer begeistert;1.000;0.000;0.000;a;
wirklich sehenswert;0.875;0.217;0.062;a;
wirklich sehr angenehm überrascht;0.924;0.180;0.060;a;
wirklich sehr angetan;0.958;0.138;0.033;a;
wirklich sehr ans Herz;0.906;0.195;0.056;n;
wirklich sehr anschaulich;1.000;0.000;0.000;a;
wirklich sehr aufschlussreich;1.000;0.000;0.000;a;
wirklich sehr authentisch;1.000;0.000;0.000;a;
wirklich sehr beeindruckend;0.911;0.200;0.032;a;
wirklich sehr begeistert;0.957;0.140;0.013;a;
wirklich sehr berührt;0.997;0.040;0.009;a;
wirklich sehr bewegend;0.906;0.195;0.056;a;
wirklich sehr echt;0.938;0.165;0.074;a;
wirklich sehr elegant;0.906;0.195;0.069;a;
wirklich sehr empfehlenswert;1.000;0.000;0.000;a;
wirklich sehr erstaunt;0.918;0.185;0.051;a;
wirklich sehr fesselnd;0.951;0.170;0.040;a;
wirklich sehr flott;0.984;0.087;0.031;a;
wirklich sehr geholfen;1.000;0.000;0.000;a;
wirklich sehr geil;0.997;0.040;0.009;a;
wirklich sehr gelohnt;1.000;0.000;0.000;a;
wirklich sehr glücklich;0.906;0.195;0.056;a;
wirklich sehr gründlich;1.000;0.000;0.000;a;
wirklich sehr gut;0.918;0.206;0.026;a;
wirklich sehr gut ausarbeiten;0.973;0.113;0.043;a;
wirklich sehr gut bedient;0.984;0.087;0.031;a;
wirklich sehr gut gemacht;0.938;0.165;0.052;a;
wirklich sehr hochwertig verarbeitet;0.906;0.195;0.069;a;
wirklich sehr informativ;0.979;0.100;0.018;a;
wirklich sehr kräftig;0.562;0.165;0.074;a;
wirklich sehr kreativ;0.906;0.195;0.069;a;
wirklich sehr lehrreich;0.958;0.138;0.056;a;
wirklich sehr leise;0.993;0.059;0.020;a;
wirklich sehr locker;0.594;0.195;0.069;a;
wirklich sehr ordentlich;0.906;0.195;0.056;a;
wirklich sehr passend;1.000;0.000;0.000;a;
wirklich sehr positiv überrascht;0.979;0.101;0.012;a;
wirklich sehr präzis;0.973;0.113;0.030;a;
wirklich sehr ruhig;0.938;0.165;0.052;a;
wirklich sehr sauber;1.000;0.000;0.000;a;
wirklich sehr sehr einfach;1.000;0.000;0.000;a;
wirklich sehr sehr empfehlenswert;1.000;0.000;0.000;a;
wirklich sehr sehr schön;0.906;0.195;0.044;a;
wirklich sehr sehr selten;1.000;0.000;0.000;a;
wirklich sehr sehr zufrieden;0.984;0.087;0.031;a;
wirklich sehr skeptisch;0.973;0.113;0.043;a;
wirklich sehr stabil;0.913;0.190;0.028;a;
wirklich sehr überrascht;0.932;0.172;0.026;a;
wirklich sehr übersichtlich;0.906;0.195;0.056;a;
wirklich sehr überzeugt;0.914;0.189;0.041;a;
wirklich sehr umfangreich;0.920;0.183;0.039;a;
wirklich sehr viel Spaß;0.900;0.200;0.022;n;
wirklich sehr zufrieden;0.936;0.167;0.007;a;
wirklich sehr zufriedenstellend;0.993;0.059;0.020;a;
wirklich selbe Schuld;1.000;0.000;0.000;n;
wirklich seriös;1.000;0.000;0.000;a;
wirklich sexy;0.938;0.165;0.074;a;
wirklich skeptisch;0.958;0.138;0.018;a;
wirklich smart;1.000;0.000;0.000;a;
wirklich so viel Spaß;1.000;0.000;0.000;n;
wirklich Sorge;1.000;0.000;0.000;n;
wirklich spannend;0.742;0.305;0.053;a;
wirklich Spaß;0.881;0.342;0.075;n;
wirklich sprachlos;1.000;0.000;0.000;a;
wirklich Sternstunde;1.000;0.000;0.000;n;
wirklich süchtig;0.982;0.092;0.010;a;
wirklich super;0.877;0.329;0.041;a;
wirklich super einfach;0.906;0.195;0.040;a;
wirklich super gefallen;0.943;0.158;0.035;a;
wirklich super günstig;1.000;0.000;0.000;a;
wirklich super gut;0.914;0.188;0.031;a;
wirklich super gut gelungen;1.000;0.000;0.000;a;
wirklich super lecker;1.000;0.000;0.000;a;
wirklich super Qualität;1.000;0.000;0.000;n;
wirklich super schnell;0.953;0.154;0.029;a;
wirklich super schön;0.958;0.138;0.040;a;
wirklich super toll;0.932;0.171;0.035;a;
wirklich super verarbeitet;0.966;0.125;0.035;a;
wirklich super viel Spaß;0.938;0.165;0.074;n;
wirklich super witzig;0.949;0.152;0.046;a;
wirklich super zufrieden;0.977;0.104;0.022;a;
wirklich täglich;0.945;0.156;0.028;a;
wirklich täuschend echt;1.000;0.000;0.000;a;
wirklich tief beeindruckt;0.973;0.113;0.043;a;
wirklich toll;0.894;0.266;0.018;a;
wirklich toll aufgebaut;0.938;0.165;0.074;a;
wirklich toll gelungen;0.906;0.195;0.040;a;
wirklich toll Geschenk;1.000;0.000;0.000;n;
wirklich toll Qualität;0.979;0.100;0.026;n;
wirklich toll verarbeitet;1.000;0.000;0.000;a;
wirklich top;1.000;0.000;0.000;a;
wirklich total begeistert;0.969;0.121;0.019;a;
wirklich total einfach;0.973;0.113;0.043;a;
wirklich total gut;0.986;0.117;0.039;a;
wirklich total klasse;0.973;0.113;0.043;a;
wirklich total spannend;0.973;0.113;0.043;a;
wirklich total zufrieden;0.906;0.195;0.049;a;
wirklich überrascht;0.908;0.194;0.008;a;
wirklich übertreffen;1.000;0.000;0.000;a;
wirklich überwältigt;0.943;0.158;0.035;a;
wirklich uneingeschränkt;0.975;0.110;0.014;a;
wirklich unendlich;1.000;0.000;0.000;a;
wirklich ungeheuerlich;0.938;0.165;0.074;a;
wirklich unglaublich gut;0.965;0.128;0.023;a;
wirklich unglaublich schön;0.938;0.165;0.074;a;
wirklich unsichtbar;0.958;0.138;0.040;a;
wirklich unsterblich;0.924;0.180;0.060;a;
wirklich unterhaltsam;0.900;0.200;0.052;a;
wirklich unübertroffen;0.924;0.180;0.060;a;
wirklich unvergesslich;0.906;0.195;0.069;a;
wirklich unvorhersehbar;0.000;0.000;0.000;a;m
wirklich verdienen;1.000;0.000;0.000;a;
wirklich verinnerlicht;0.938;0.165;0.074;a;
wirklich verschwendet;-1.000;0.000;0.000;a;
wirklich viel Potential;-0.458;0.138;0.056;n;
wirklich voll zufrieden;0.973;0.113;0.043;a;
wirklich vollkommen zufrieden;0.973;0.113;0.043;a;
wirklich von gut Qualität;0.938;0.165;0.074;n;
wirklich wahnsinnig schnell;0.958;0.138;0.056;a;
wirklich wahr;0.850;0.450;0.142;a;
wirklich weiterempfehlen;0.973;0.113;0.043;a;
wirklich weltbewegend;0.094;0.195;0.056;a;
wirklich wert;0.824;0.483;0.117;a;
wirklich wichtig;0.923;0.180;0.050;a;
wirklich wieder sehr gelungen;1.000;0.000;0.000;a;
wirklich witzig;0.841;0.277;0.059;a;
wirklich wundervoll;0.934;0.169;0.019;a;
wirklich zeitlos;0.943;0.158;0.035;a;
wirklich zufällig;0.000;0.000;0.000;a;m
wirklich zufrieden;0.708;0.320;0.092;a;
wirklich zugeht;0.000;0.000;0.000;a;m
wirksam;0.833;0.471;0.111;a;
wirkungslos;-1.000;0.000;0.000;a;
wirkungsvoll;0.763;0.298;0.068;a;
wirr;-0.560;0.547;0.100;a;
wissenschaftlich;-0.226;0.725;0.118;a;
wissenschaftlich Fortschreiten;1.000;0.000;0.000;n;
wissenschaftlich nachweisen;1.000;0.000;0.000;a;
Witz;-0.672;0.641;0.049;n;
witzig;0.400;0.000;0.000;a;m
witzig Abenteuer;0.938;0.165;0.074;n;
witzig Abwechslung;0.938;0.165;0.074;n;
witzig Charme;0.906;0.195;0.069;n;
witzig Geschenk;0.773;0.249;0.075;n;
witzig geschildert;0.984;0.087;0.031;a;
witzig gezeichnet;0.973;0.113;0.043;a;
witzig Lesevergnügen;0.924;0.180;0.060;n;
witzig spannend;0.938;0.165;0.074;a;
witzigsten;0.528;0.824;0.194;a;
wochenlang Recherche;0.924;0.180;0.060;n;
wöchentlich erscheinend;0.993;0.059;0.020;a;
wohl beeindruckendsten;1.000;0.000;0.000;a;
wohl behüten;1.000;0.000;0.000;a;
wohl Beste;1.000;0.000;0.000;n;
wohl besten;0.950;0.150;0.019;a;
wohl bisher besten;0.973;0.113;0.030;a;
wohl coolsten;0.966;0.125;0.035;a;
wohl dunkelsten;1.000;0.000;0.000;a;
wohl düstersten;0.993;0.059;0.020;a;
wohl eher nicht geeignet;0.906;0.195;0.056;a;
wohl eher unbekannt;0.958;0.138;0.056;a;
wohl eindrucksvollsten;0.973;0.113;0.043;a;
wohl einmalig;1.000;0.000;0.000;a;
wohl einzeln;1.000;0.000;0.000;a;
wohl emotionalsten;0.938;0.165;0.074;a;
wohl genialsten;0.942;0.160;0.031;a;
wohl groß Überraschung;0.906;0.195;0.056;n;
wohl heikelsten;0.000;0.000;0.000;a;m
wohl innovativsten;1.000;0.000;0.000;a;
wohl noch häufig;0.000;0.000;0.000;a;m
wohl persönlichsten;1.000;0.000;0.000;a;
wohl schmeckend;0.938;0.165;0.074;a;
wohl schönsten;0.992;0.061;0.006;a;
wohl skurrilsten;1.000;0.000;0.000;a;
wohl so ziemlich jed Fan;0.500;0.000;0.000;n;
wohl traurigsten;0.000;0.000;0.000;a;m
wohl unerreicht;0.958;0.138;0.040;a;
wohl unschlagbar;0.955;0.143;0.027;a;
wohl weitergehen;1.000;0.000;0.000;a;
wohl wenig bekannt;0.973;0.113;0.043;a;
wohl witzigsten;1.000;0.000;0.000;a;
wohlig warm Gefühl;1.000;0.000;0.000;n;
wohltuend;0.875;0.217;0.048;a;
womöglich besten;0.986;0.117;0.039;a;
wörtlich;-0.017;0.606;0.183;a;
Wucht;0.904;0.241;0.047;n;
wund;-0.400;0.000;0.000;a;m
Wunder;0.328;0.473;0.045;n;
wunderbar;0.946;0.181;0.003;a;
wunderbar Abenteuer;0.993;0.059;0.020;n;
wunderbar abwechslungsreich;0.915;0.187;0.045;a;
wunderbar amüsiert;0.989;0.073;0.018;a;
wunderbar angepasst;1.000;0.000;0.000;a;
wunderbar anhören;1.000;0.000;0.000;a;
wunderbar anschaulich;0.984;0.087;0.031;a;
wunderbar anschaulich beschreiben;1.000;0.000;0.000;a;
wunderbar aufeinander;0.938;0.165;0.074;a;
wunderbar aufgebaut;1.000;0.000;0.000;a;
wunderbar ausbalanciert;1.000;0.000;0.000;a;
wunderbar ausgearbeitet;0.931;0.173;0.040;a;
wunderbar ausgefeilt;0.966;0.125;0.035;a;
wunderbar auswählen;0.924;0.180;0.060;a;
wunderbar auswiegen;0.973;0.113;0.043;a;
wunderbar bebildern;0.938;0.165;0.074;a;
wunderbar bedienen;0.973;0.113;0.043;a;
wunderbar Bereicherung;0.984;0.087;0.031;n;
wunderbar beruhigend;1.000;0.000;0.000;a;
wunderbar berührend;1.000;0.000;0.000;a;
wunderbar bunt;0.993;0.059;0.020;a;
wunderbar dargestellt;1.000;0.000;0.000;a;
wunderbar darstellen;0.926;0.178;0.022;a;
wunderbar detailliert;0.918;0.185;0.051;a;
wunderbar deutlich;0.958;0.138;0.056;a;
wunderbar dicht;1.000;0.000;0.000;a;
wunderbar durchdacht;0.951;0.170;0.040;a;
wunderbar durchkomponiert;1.000;0.000;0.000;a;
wunderbar düsten;0.938;0.165;0.052;a;
wunderbar ehrlich;0.924;0.180;0.060;a;
wunderbar einfach;1.000;0.000;0.000;a;
wunderbar einfühlsam;0.965;0.128;0.023;a;
wunderbar eingängig;0.966;0.125;0.035;a;
wunderbar emotional;1.000;0.000;0.000;a;
wunderbar Entdeckung;0.984;0.087;0.031;n;
wunderbar entspannend;0.954;0.145;0.030;a;
wunderbar entspannt;0.981;0.096;0.020;a;
wunderbar ergänzt;1.000;0.000;0.000;a;
wunderbar Erlebnis;0.993;0.059;0.011;n;
wunderbar erreicht;1.000;0.000;0.000;a;
wunderbar erzählen;0.902;0.199;0.034;a;
wunderbar erzählt;0.947;0.154;0.016;a;
wunderbar fesselnd;0.981;0.096;0.020;a;
wunderbar fließend;1.000;0.000;0.000;a;
wunderbar flüssig;0.921;0.182;0.017;a;
wunderbar fortsetzen;0.958;0.138;0.056;a;
wunderbar fotografiert;1.000;0.000;0.000;a;
wunderbar Freundschaft;0.987;0.080;0.010;n;
wunderbar frisch;0.973;0.113;0.030;a;
wunderbar geeignet;0.903;0.198;0.017;a;
wunderbar gefallen;1.000;0.000;0.000;a;
wunderbar Gefühl;1.000;0.000;0.000;n;
wunderbar gefühlvoll;0.973;0.113;0.021;a;
wunderbar gelaufen;0.979;0.176;0.059;a;
wunderbar gelungen;0.927;0.176;0.012;a;
wunderbar gemacht;1.000;0.000;0.000;a;
wunderbar genial;1.000;0.000;0.000;a;
wunderbar geschafft;0.951;0.170;0.040;a;
wunderbar Geschenk;0.974;0.112;0.026;n;
wunderbar geschildert;0.938;0.165;0.043;a;
wunderbar geschmeckt;0.958;0.138;0.056;a;
wunderbar geschmeidig;1.000;0.000;0.000;a;
wunderbar geschützt;0.924;0.180;0.060;a;
wunderbar gespielt;0.950;0.150;0.021;a;
wunderbar getroffen;1.000;0.000;0.000;a;
wunderbar gewählt;0.906;0.195;0.044;a;
wunderbar gezeichnet;0.925;0.179;0.022;a;
wunderbar griffig;0.984;0.087;0.031;a;
wunderbar gruselig;0.938;0.165;0.074;a;
wunderbar handlich;0.973;0.113;0.043;a;
wunderbar harmonierend;0.973;0.113;0.043;a;
wunderbar harmonisch;1.000;0.000;0.000;a;
wunderbar heiß;1.000;0.000;0.000;a;
wunderbar hell;1.000;0.000;0.000;a;
wunderbar herausarbeiten;0.906;0.195;0.037;a;
wunderbar herausgearbeitet;0.938;0.165;0.074;a;
wunderbar Hilfe;1.000;0.000;0.000;n;
wunderbar hinein;0.958;0.138;0.056;a;
wunderbar Hörgenuss;1.000;0.000;0.000;n;
wunderbar humorvoll;0.920;0.183;0.039;a;
wunderbar informativ;1.000;0.000;0.000;a;
wunderbar inspirierend;0.938;0.165;0.074;a;
wunderbar inszenieren;0.986;0.117;0.039;a;
wunderbar inszeniert;0.931;0.173;0.040;a;
wunderbar interpretiert;0.915;0.187;0.045;a;
wunderbar ironisch;0.927;0.177;0.037;a;
wunderbar Klassiker;0.946;0.168;0.032;n;
wunderbar klein;0.945;0.156;0.028;a;
wunderbar komisch;0.927;0.176;0.029;a;
wunderbar komponieren;0.938;0.165;0.074;a;
wunderbar Kraft;0.938;0.165;0.074;n;
wunderbar Kunstwerk;1.000;0.000;0.000;n;
wunderbar kurz;0.984;0.087;0.031;a;
wunderbar leichtfüßig;1.000;0.000;0.000;a;
wunderbar leichtgängig;0.938;0.165;0.074;a;
wunderbar Leichtigkeit;0.924;0.180;0.042;n;
wunderbar Leistung;0.958;0.138;0.056;n;
wunderbar Lesegenuss;1.000;0.000;0.000;n;
wunderbar Lesevergnügen;0.991;0.066;0.011;n;
wunderbar liebevoll;1.000;0.000;0.000;a;
wunderbar lustig;0.928;0.185;0.042;a;
wunderbar Märchen;0.954;0.145;0.021;n;
wunderbar Meisterwerk;1.000;0.000;0.000;n;
wunderbar melancholisch;0.938;0.165;0.028;a;
wunderbar menschlich;0.973;0.113;0.030;a;
wunderbar mitreißend;1.000;0.000;0.000;a;
wunderbar möglich;1.000;0.000;0.000;a;
wunderbar nachvollziehbar;0.984;0.087;0.031;a;
wunderbar nah;0.958;0.138;0.056;a;
wunderbar naiv;1.000;0.000;0.000;a;
wunderbar neu;0.973;0.113;0.043;a;
wunderbar normal;0.984;0.087;0.031;a;
wunderbar packend;1.000;0.000;0.000;a;
wunderbar philosophisch;1.000;0.000;0.000;a;
wunderbar positiv;1.000;0.000;0.000;a;
wunderbar präsentiert;0.938;0.165;0.052;a;
wunderbar präzis;1.000;0.000;0.000;a;
wunderbar Qualität;0.906;0.195;0.040;n;
wunderbar realistisch;0.938;0.165;0.052;a;
wunderbar rein;0.912;0.190;0.038;a;
wunderbar romantisch;0.917;0.186;0.025;a;
wunderbar ruhig;0.977;0.104;0.022;a;
wunderbar saftig;0.958;0.138;0.056;a;
wunderbar sarkastisch Humor;1.000;0.000;0.000;n;
wunderbar sauber;0.938;0.165;0.033;a;
wunderbar scharf;0.964;0.130;0.030;a;
wunderbar schaurig;0.958;0.138;0.056;a;
wunderbar schlicht;0.906;0.195;0.069;a;
wunderbar schnell;0.935;0.169;0.025;a;
wunderbar schön;0.962;0.132;0.026;a;
wunderbar schräg;0.989;0.073;0.018;a;
wunderbar sensibel;1.000;0.000;0.000;a;
wunderbar Sinn;1.000;0.000;0.000;n;
wunderbar spannend;0.930;0.173;0.021;a;
wunderbar spaßig;1.000;0.000;0.000;a;
wunderbar spielend;1.000;0.000;0.000;a;
wunderbar stabil;0.938;0.165;0.052;a;
wunderbar Stil;0.942;0.160;0.031;n;
wunderbar stimmig;1.000;0.000;0.000;a;
wunderbar Tiefe;0.984;0.087;0.031;n;
wunderbar tiefsinnig;1.000;0.000;0.000;a;
wunderbar transparent;0.958;0.138;0.056;a;
wunderbar traurig;0.931;0.173;0.040;a;
wunderbar treffend;1.000;0.000;0.000;a;
wunderbar Überraschung;1.000;0.000;0.000;n;
wunderbar übersichtlich;1.000;0.000;0.000;a;
wunderbar umgesetzt;0.909;0.193;0.019;a;
wunderbar unterhält;0.958;0.138;0.040;a;
wunderbar unterhaltend;1.000;0.000;0.000;a;
wunderbar untermalt;0.984;0.087;0.031;a;
wunderbar unterstützt;0.958;0.138;0.056;a;
wunderbar verarbeitet;1.000;0.000;0.000;a;
wunderbar verknüpft;1.000;0.000;0.000;a;
wunderbar verpackt;0.993;0.059;0.014;a;
wunderbar verständlich;0.952;0.147;0.036;a;
wunderbar verstehen;0.949;0.152;0.046;a;
wunderbar vertont;1.000;0.000;0.000;a;
wunderbar vielschichtig;1.000;0.000;0.000;a;
wunderbar vorlesen;1.000;0.000;0.000;a;
wunderbar vortragen;1.000;0.000;0.000;a;
wunderbar warm;0.945;0.156;0.020;a;
wunderbar warmherzig;0.906;0.195;0.044;a;
wunderbar wiedergeben;1.000;0.000;0.000;a;
wunderbar witzig;0.920;0.184;0.031;a;
wunderbar zart;0.981;0.096;0.020;a;
wunderbarsten;0.969;0.121;0.030;a;
wunderhübsch gestalten;1.000;0.000;0.000;a;
wunderschön;0.945;0.192;0.005;a;
wunderschön Erlebnis;1.000;0.000;0.000;n;
wunderschön erzählt;0.938;0.165;0.074;a;
wunderschön Gefühl;1.000;0.000;0.000;n;
wunderschön gelungen;1.000;0.000;0.000;a;
wunderschön Geschenk;0.909;0.193;0.058;n;
wunderschön gestalten;0.926;0.177;0.017;a;
wunderschön Liebe;1.000;0.000;0.000;n;
wunderschön Märchen;0.864;0.223;0.047;n;
wunderschön Meisterwerk;0.945;0.156;0.039;n;
wunderschön Schmuckstück;1.000;0.000;0.000;n;
wunderschön Stil;1.000;0.000;0.000;n;
wunderschön umgesetzt;1.000;0.000;0.000;a;
wunderschön verarbeitet;0.958;0.138;0.056;a;
wundervoll;0.969;0.140;0.005;a;
wundervoll ausgearbeitet;1.000;0.000;0.000;a;
wundervoll bildhaft;1.000;0.000;0.000;a;
wundervoll darstellen;0.993;0.059;0.014;a;
wundervoll einfühlsam;0.958;0.138;0.056;a;
wundervoll Erlebnis;1.000;0.000;0.000;n;
wundervoll erzählen;1.000;0.000;0.000;a;
wundervoll erzählt;1.000;0.000;0.000;a;
wundervoll gelungen;1.000;0.000;0.000;a;
wundervoll Geschenk;0.998;0.033;0.006;n;
wundervoll geschrieben;0.954;0.145;0.030;a;
wundervoll gespielt;1.000;0.000;0.000;a;
wundervoll gestalten;1.000;0.000;0.000;a;
wundervoll gesungen;1.000;0.000;0.000;a;
wundervoll gezeichnet;0.978;0.147;0.036;a;
wundervoll Humor;1.000;0.000;0.000;n;
wundervoll illustriert;1.000;0.000;0.000;a;
wundervoll inszenieren;1.000;0.000;0.000;a;
wundervoll inszeniert;1.000;0.000;0.000;a;
wundervoll interpretiert;0.938;0.165;0.074;a;
wundervoll Klassiker;1.000;0.000;0.000;n;
wundervoll komisch;1.000;0.000;0.000;a;
wundervoll leicht;1.000;0.000;0.000;a;
wundervoll Lesevergnügen;0.949;0.152;0.046;n;
wundervoll Märchen;0.932;0.171;0.035;n;
wundervoll poetisch;1.000;0.000;0.000;a;
wundervoll romantisch;1.000;0.000;0.000;a;
wundervoll Stil;1.000;0.000;0.000;n;
wundervoll traurig;0.938;0.165;0.074;a;
wundervoll umgesetzt;0.984;0.087;0.031;a;
wundervoll witzig;0.924;0.180;0.060;a;
wundervollsten;0.950;0.150;0.047;a;
wünsche all viel Freude;1.000;0.000;0.000;n;
wünsche all viel Spaß;0.998;0.028;0.005;n;
wünsche viel Freude;1.000;0.000;0.000;n;
wünsche viel Vergnügen;1.000;0.000;0.000;n;
wunschlos glücklich;0.929;0.175;0.038;a;
wunschlos zufrieden;1.000;0.000;0.000;a;
würde zu weit;0.000;0.000;0.000;a;m
würdevoll;0.950;0.150;0.047;a;
würdig;0.780;0.414;0.013;a;
würdig abschließen;1.000;0.000;0.000;a;
würdig umgesetzt;1.000;0.000;0.000;a;
würdig vertreten;0.958;0.138;0.056;a;
zäh;-0.579;0.512;0.080;a;
zart;-0.023;0.596;0.094;a;
zart beginnend;1.000;0.000;0.000;a;
zärtlich geliebt;0.958;0.138;0.056;a;
zärtlich Liebe;0.938;0.165;0.074;n;
Zauber;0.500;0.638;0.087;n;
zauberhaft;0.920;0.230;0.017;a;
zauberhaft Märchen;0.942;0.160;0.031;n;
zeitgemäß;0.692;0.538;0.149;a;
zeitgleich erscheinen;0.000;0.000;0.000;a;m
zeitlich gut;1.000;0.000;0.000;a;
zeitlich linear;1.000;0.000;0.000;a;
zeitlos;0.915;0.194;0.013;a;
zeitlos genial;0.993;0.059;0.014;a;
zeitlos gültig;1.000;0.000;0.000;a;
zeitlos gut;0.944;0.157;0.037;a;
zeitlos Klassiker;0.929;0.175;0.023;n;
zeitlos Meisterwerk;0.967;0.125;0.023;n;
zeitlos schick;0.993;0.059;0.020;a;
zeitlos schön;0.912;0.191;0.046;a;
zeitlos Schönheit;1.000;0.000;0.000;n;
Zeitverschwendung;-0.933;0.178;0.013;n;
zerbrechlich;-0.400;0.000;0.000;a;m
ziemlich;0.000;0.000;0.000;a;m
ziemlich abweisend;0.000;0.000;0.000;a;m
ziemlich altmodisch;0.000;0.000;0.000;a;
ziemlich armselig;-0.542;0.138;0.056;a;
ziemlich blind;-0.400;0.000;0.000;a;m
ziemlich durchgeknallten;0.438;0.165;0.074;a;
ziemlich durchschaubar;0.000;0.000;0.000;a;
ziemlich ehrlich;0.938;0.165;0.074;a;
ziemlich enttäuschend;-0.417;0.318;0.058;a;
ziemlich enttäuscht;-0.375;0.361;0.104;a;
ziemlich Enttäuschung;-0.577;0.331;0.092;n;
ziemlich episch;0.500;0.164;0.062;a;
ziemlich extremistisch;1.000;0.000;0.000;a;
ziemlich Feuerwerk;0.500;0.000;0.000;n;
ziemlich flach;-0.583;0.400;0.115;a;
ziemlich genau beschreiben;0.906;0.195;0.069;a;
ziemlich gradlinig;0.438;0.165;0.074;a;
ziemlich gut;0.623;0.273;0.027;a;
ziemlich gut Qualität;0.924;0.180;0.060;n;
ziemlich Hänger;0.500;0.000;0.000;n;
ziemlich jung;0.973;0.113;0.043;a;
ziemlich klassisch;0.527;0.113;0.043;a;
ziemlich kritisch;0.929;0.175;0.047;a;
ziemlich langatmig;-0.500;0.369;0.111;a;
ziemlich langweilig;-0.588;0.308;0.053;a;
ziemlich logisch;1.000;0.000;0.000;a;
ziemlich pingelig;1.000;0.000;0.000;a;
ziemlich sanft;0.938;0.165;0.074;a;
ziemlich sarkastisch;0.938;0.165;0.074;a;
ziemlich schwach;-0.421;0.437;0.100;a;
ziemlich sinnvoll;1.000;0.000;0.000;a;
ziemlich skeptisch;0.906;0.195;0.021;a;
ziemlich überschätzt;-0.400;0.000;0.000;a;m
ziemlich überschaubar;0.438;0.165;0.074;a;
ziemlich undeutlich;-0.062;0.165;0.074;a;
ziemlich ungewohnt;0.000;0.000;0.000;a;m
ziemlich zuverlässig;0.958;0.138;0.056;a;
zig unterschiedlich;0.000;0.000;0.000;a;m
zitternd vor Spannung;0.958;0.138;0.056;n;
zu absolut Höchstform;0.938;0.165;0.074;n;
zu all Zufriedenheit;0.938;0.165;0.074;n;
zu alt;-0.400;0.000;0.000;a;m
zu bedienen;0.000;0.000;0.000;a;m
zu bereits bekannt;0.000;0.000;0.000;a;m
zu bereits existierend;0.000;0.000;0.000;a;m
zu Bezug;0.000;0.000;0.000;n;m
zu eng;-0.550;0.522;0.165;a;
zu erfahren;0.918;0.185;0.051;a;
zu erlebend;0.576;0.180;0.060;a;
zu früh verstorben;-0.400;0.000;0.000;a;m
zu geil;1.000;0.000;0.000;a;
zu genial;0.958;0.138;0.056;a;
zu groß Sorge;-0.400;0.000;0.000;n;m
zu hause;0.000;0.000;0.000;a;m
zu Hip;-0.400;0.000;0.000;n;m
zu hoch;-0.400;0.000;0.000;a;m
zu hoch einstellen;-0.400;0.000;0.000;a;m
zu hoch gelobt;-0.393;0.386;0.103;a;
zu hübsch;-0.400;0.000;0.000;a;m
zu jugendlich;-0.400;0.000;0.000;a;m
zu kein Punktabzug;0.000;0.000;0.000;n;m
zu klein;-0.400;0.000;0.000;a;m
zu klein gewählt;-0.400;0.000;0.000;a;m
zu kompakt;-0.400;0.000;0.000;a;m
zu kurz;-0.400;0.000;0.000;a;m
zu kurz ausfallen;-0.400;0.000;0.000;a;m
zu lang;-0.400;0.000;0.000;a;m
zu lang noch zu kurz;1.000;0.000;0.000;a;
zu langsam;-0.400;0.000;0.000;a;m
zu letzt;0.000;0.000;0.000;a;m
zu rosarot;-0.400;0.000;0.000;a;m
zu schnell;-0.400;0.000;0.000;a;m
zu schnell auslesen;0.000;0.000;0.000;a;m
